开放粤语例句词库

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［粤语例句］*［国语释义］

 揸住手噉教佢	手把手地教他
你做乜讲大话呀？	你干嘛撒谎？

你做事唔好咁擒青	你做事别这么鲁莽

你做事唔好咁乌龙至得噶	你做事不要那么糊涂才行

你做到，但系我做唔到	你做得到，可是我做不到

你做咁多嘢赚搅啫	你做那么多事也是白忙活

你做咗乜嘢，自己心知肚明吖	你干了什么，你自己心里明白啊

你做咗噉嘅错事，我都戥你难受	你干了这样的错事，我都替你难受

你做咩呀你？	你做什么你？

你做咩咁样话佢呀，噉即系话佢交行货啫	你怎么那么说他了，这样就是说他只是一般的水平而已

你做咩咁迆？	你怎么这么懒散？

你做嘢做到半天吊，累埋我畀波士闹	你办事这么不牢靠，害得我也挨老板骂

你做嘢做到半天吊，累埋我畀波士闹	你办事这么不牢靠，害得我也挨老板骂

你做嘢都几醒神喇㖞	你做事也挺聪明的

你做埋呢啲嘢畀人哋闹，赚衰啦	你尽干这些事情让人家骂，真是自找倒霉了

你做埋呢啲衰嘢，点对得住良心呀	你总干这种下作的勾当，怎么对得起自己的良心

你做埋我份嘞	你把我的活儿也干了吧

你傻咗呀？	你疯了吗？

你入去先啦	你先进去

你两个傍住佢，咪畀佢走甩	你们俩看着他，别让他跑了

你两个字后再打嚟好嘛？	你能不能10分钟后再打来？

你冇事吖嘛？	你没事吗？

你冇可能快得过我	你不可能比我快

你冇埞匿噶喇	你没地方躲的了

你冇听见咩？	你没听见吗？

你冇路走！	你无路可逃了！

你再等多阵喇，或者听日就到啦	您再等一等吧，也许明天就到了

你再讲我告到你甩裤！	你再说我就投诉你，把你告到底！

你冷静啲先吖	你先冷静一下

你冷静啲呀	你冷静点

你出去先	你先出去

你出去，唔好喺度诈傻扮懵	你出去，别在这儿装疯卖傻

你出去，唔好喺度诈傻扮懵	你出去，别在这里装疯卖傻

你剒吓佢，佢实会讲出嚟	你逗逗他，他准说出来

你千祈唔好乱噉讲	你千万别乱说

你即刻扯吖！	你马上走！

你即刻走！	你马上走！

你即管放胆去啦	你尽管放心去吧

你去咗边度嚟？	你去了哪里？

你去咨询台攞张申请表	您到咨询台领取一张申请表格

你去唔去先	你到底去不去哇

你去唔去呀？	你去不去？

你去开边度食晏？	你经常去哪里吃午饭？

你又系到唉唉声啦	你又在这儿唉声叹气

你又同我咁高咁大喇	你不就跟我差不多了吗

你又唔识做，走入嚟呢度混吉咩	你又不会干，跑这儿来添乱吗

你又试咁夜至翻屋企啰	你又这么晚才回家了

你只要认真啲读书，包你成绩会越嚟越好	你只要认真点儿念书，保证你成绩会越来越好

你叫乜嘢名呀？	你叫什么名字？

你叫佢佢实去嘅	你叫上他他一准去

你叫佢悭啲呀	你叫他省省吧

你叫咩名呀？	你叫什么名字？

你可以掂笔甩去揾佢	你可以径直去找他

你可以而家订，或者打电话订都得	您可以现在订，也可以打电话订票

你可以自由自在噉四周围去	你可以自由自在地到处逛了

你可唔可以同我打份备忘录？	你能帮我打一份备忘录吗？

你可唔可以唔好咁大声呀？	你可不可以不那么大声啊？

你可唔可以话畀我知喺边度呀？	你可以高速我在哪儿吗？

你吊住佢尾，睇佢去边度	你跟踪他，看他上哪儿去

你同我收声	你给我闭嘴

你同我斗？仲未够quali！	你跟我斗？还不够格！

你吹佢唔胀	你奈何不了他

你吼住啲谷，唔好畀鸡嚟食	你看着这些稻谷，别让鸡来吃

你呃我嘅	你在骗我

你告我哋唔入噶㖞	你告不倒我们

你呢世都买唔到飞噶	你这辈子也买不到票的

你呢个徒弟，竟然食碗面反碗底，帮人害自己师父	你这个徒弟，竟然忘恩负义，帮着外人来害自己师父

你呢个打靶佬，我一枪打瓜你！	你这个混蛋，我一枪打死你！

你呢句话好啱听	你这句话很中听

你呢几个月时常出差，够频扑喇	你这几个月经常出差，够奔波了

你呢种做法我好啱心水	你这种做法很合我意

你咁做生意法，唔拍乌蝇就奇	你这么做生意法，不生意清淡才怪呢

你咁嘅唛头想揾人请你都好难	你这副模样想找人请你也不容忍

你咁忙都陪我嚟，真系唔话得	你这么忙也陪我来，真是没说的

你咁样分明系想剃我眼眉啫	你这样做分明是想让我当众出丑罢了

你咁百厌，有乜法子唔乞人憎吖！	你这么淘气，有什么办法不叫人讨厌啊！

你咁细声我听唔到	你的声音这么小我听不清

你咁远都嚟睇我，真系有心喇	大老远的你也来看望我，您真的很关心我

你咁迟先至去买飞，我唔敢包你买唔买到嘅噃	你这么晚才去买票，我不敢担保你买不买得到

你咁迟通知我，搅到我揗晒鸡	你这么晚才通知我，搞得我手忙脚乱的

你咁钟意佢，不如契咗佢做女啦	你这么喜欢她，干脆认了她做干女儿吧

你咩料呀？	你算老几？

你咪以为匿埋咗我就睇你唔见	你别以为藏起来我就看不到你

你咪咁串呀，因住我打你	你别再趾高气扬啦，小心我打你

你咪虾我呀！	你别欺负我了！

你咪行住，等我一阵	你先别走，等我一会儿

你咪卖口乖，做出嚟睇过先	你别说得好听，做出来看看再说

你咪逼我做噉嘅嘢！	你别逼我做这样的事！

你哋一个礼拜翻几日工？	你们一个星期上几天班？

你哋仲入唔入呢种货呀？	你们还进这类货吗？

你哋个个出去玩留低我一个，我唔制呀！	你们大家都出去玩儿留下我一个人,我不干！

你哋做咩唉唉声？	你们做什么唉声叹气？

你哋两个睇水	你们两个把风

你哋去嗰处做乜？	你们去那里干什么？

你哋去行吓街，睇吓戏啦！	你们去逛逛街，看看电影吧！

你哋呢个书店有冇细路仔嘅数买呀？	你们这个书店有少儿书籍吗？

你哋呢度嘅丝绸产品都系国货嚟噶吗？	你们这里的丝绸产品都是国货吗？

你哋呢度有冇加大号噶？	你们这里有加大号的呢？

你哋唔好乱噉估	你们不要瞎猜

你哋唔好嘈啦	你们不要吵了

你哋唔好嘈喇！	你们别吵了！

你哋唔要就益晒佢	你们不要就便宜了他了

你哋喺度攪攪震，人哋都冇办法休息喇	你们在这儿闹个没完，人家没法休息了

你哋嘅营业时间系几时？	你们的营业时间呢？

你哋几时先翻学？	你们什么时候才上学？

你哋几点钟关门呀？	你们什么时候关门？

你哋想整边一种花款吖？	你们想做哪一种款式呢？

你哋无谓再嘈啦	你们不必再争吵了

你哋等埋林小姐啦，佢想话同埋一齐去㖞	你们等等林小姐，她正想一块儿去

你哋细个有冇噉嘅童年？	你们小的时候有没有这样的童年？

你哋走先啦，剩翻啲手尾我搅掂得噶喇	你们先走吧，剩下的收尾工作我来干得了

你哋醒定啲呀	你们小心一点

你唔使再劝我啦	你不用再劝我了

你唔使呃我呀	你不用骗我

你唔使咁投入噶㖞	你不用那么投入啦

你唔使问，我咩都唔会讲	你不用问，我什么都不会说

你唔使嗿我啦	你不用哄我了

你唔使狡辩	你不用狡辩

你唔使窒呀	你不用害怕呀

你唔使诈型喇，你根本冇受伤	别装了，你根本没受伤

你唔使诈型喇，你根本冇受伤	别装了，你根本没受伤

你唔使诈谛，我早就知到咯	你不用装蒜，我早就知道了

你唔使闭翳	你不必发愁

你唔使惊	你不用怕

你唔使惊，保证冇乜差迟	你不用害怕，保证没有什么差错

你唔使惊，我嚟救你噶	你不用怕，我来救你

你唔系好钟意唱歌嘅咩？	你不是很喜欢唱歌的吗？

你唔做我保你第二日唔使再翻工	你不做我保证你第二天不用再去上班

你唔出声，我当你应承噶啰	你不吭声，我当你答应了

你唔去衙？	你不去吗？

你唔同我哋合作，我哋帮你唔到	你不跟我们合作，我们帮不了你

你唔够佢争噶喇	你抢不过他的了

你唔好再擝实我件衫	你别再拉紧我的衣服

你唔好同班损友行埋一齐	你别跟那些坏朋友混在一起

你唔好咁婆妈喇	你别这么婆婆妈妈的了

你唔好咁自暴自弃啦，好唔好呀？	你别这样自暴自弃，好不好？

你唔好咁认真得唔得呀？	你别那么认真行不行？

你唔好喊住先呀	你先别哭

你唔好嘥我时间得唔得呀？	你别浪费我的时间好不好？

你唔好噉对我呀	你不要这样对待我了

你唔好埋嚟吖！	你别过来！

你唔好埋嚟吖！	你别过来！

你唔好多口	你不要多嘴

你唔好大只讲呀，我预埋你嚟帮手噶喇	你不要光嘴上说说，我等着你来帮忙啊

你唔好嬲啦！	你别生气了！

你唔好屈人	你不要冤枉别人

你唔好扯住	你先别走

你唔好教坏啲细路	你不要把小孩教坏了

你唔好望住我	你不要看着我

你唔好烦我啦！	你不要烦我！

你唔好玩嘢！	你别耍花样！

你唔好玷佢	你不要碰它

你唔好理	你别管

你唔好当我系亚福呀！	你不要把我当傻瓜！

你唔好当我懵嘅	你别以为我糊涂

你唔好行埋嚟	你别走过来

你唔好计带呀	你不要介意啊

你唔好讲假呃我	你不要说假话骗我

你唔得闲就咪去啦	你没空就别去吧

你唔怕人哋话你衙？	你不怕人家说你吗？

你唔会呃我吗？	你不会骗我吧？

你唔温习功课，考试就听衰	你不温习功课，考试就等着倒霉

你唔翻去，我唔罚你就假嘅！	你不回去，我不罚你才怪呢！

你唔要就畀我啦	你不要就给我吧

你唔要，我就悭翻	你不要，我就节省下来了

你唔见咗个手袋咁普通，又冇乜识认，好难揾得番嗰噃	你丢了的那个手提包这么普通，又没啥标记，挺难找回来的

你唔赔钱乜都假！	你不赔钱，怎么说也不行！

你唔通系牛皮灯笼？点极唔明噶！	你难道是牛皮灯笼？老点不透的！

你唔食得辣嘅咩？	你不能吃辣的吗？

你唔食羊肉噶？	你不吃羊肉的吗？

你哑咗呀？	你哑了吗？

你啲手势真系好	你的手艺真好

你啲手势越嚟越好啦	你的手艺越来越好了

你啲把戏冇人信噶喇，收档罢啦	你的把戏没人相信的啦，还是收起来吧

你啲文章同题目有啲唔挐耕	你的文章跟题目有点文不对题

你啲书放得咁立乱	你的书放得那么乱

你喺度做乜呀？	你在干什么？

你喺度做咩呀？	你在这里做什么？

你喺度吗？	你在这里吗？

你喺度泊车，想收告票呀	你在这儿停车，是不是想收罚款通知书？

你喺度泊车，想收告票呀？	你在这儿停车，是不是想收罚款通知书？

你喺处等住我翻嚟	你在这里等着我回来

你嗌乜呀？	你喊什么？

你嗰时好得意咯！	你当时很可爱啊！

你嗰条棍因住犦亲人	当心你那根棍子打着人

你嗰条棍因住犦亲人个头	你的棍子当心敲了人家的脑袋

你嗰杠嘢快啲收档啦！	你那一套快点收起来吧！

你嗰边系咪剪发好贵，所以个个自己剪？	你那里是不是剪头发很贵，所以人人都自己剪？

你嗰阵仲瞓紧觉	你那个时候还在睡觉呢

你嘅字写得咁歪斜嘅？	你写字这么歪的？

你嘅新存折已经搅惦，欢迎下次再嚟	您的新存折已经开好，欢迎下次再来

你嘅服务态度咁好，真系唔话得咯	你的服务态度那么好，真是没有什么说的

你嘅死桥真害人！	你的馊主意真害人！

你嘅航班喺十一号门登机	您的航班在第十一号登机门登机

你嘅行为咁西化，我谂多数人未必可以受落	你的行为这么西化，我想多数人未必可以接受

你嘅说话我会记住嘅	你的话我会记住的

你嘈到我个心都立立乱	你吵得我心乱如麻

你噉做唔系几盏噃？	你这样做不怎么妥当吧？

你噉做都系混吉啫	你这么干分明是在捣乱

你噉做，发神经咩！	你这样干，疯了吗！

你噉冇胆，学乜嘢车呀？	你那么没胆，学什么开车子呀？

你噉搅法大家赚冇瘾嘅啫	你这么干，大家落得没趣罢了

你噉样做法，正一攞苦嚟辛！	你这样做，真是找苦来吃！

你噉样做，人哋实话你	你这样干，人家一定说你

你噉样搅法似样咩？	你这样搞像话吗？

你噉话佢，佢是必唔高兴咯	你这样说他，他一定不高兴了

你噉讲即系话人行货啫	你这么说就是说人水平一般般而已

你噉讲唔通噃	你这么说不对

你坐入便，我坐出便	你坐里边，我坐外边

你坐入便，等我坐出便	你坐里头，我坐外头

你坐埋便，我坐开便	你坐里边，我坐外边

你坐定定唔好喐啦！	你坐得好好的别乱动嘛！

你坐就坐，唔好挜住个位唔坐	你坐就坐，不要霸占这个位子不坐

你埋去睇睇系乜嘢	你走过去看看是什么东西

你够唔够胆玩笨猪跳？	你敢不敢玩蹦极？

你够胆就过嚟吖嗱！	你有胆量就过来吧！

你够胆！	你敢！

你大佬揾到嘢做未呀？	你哥哥找到工作没有？

你大个想做乜嘢？	你长大想做甚么？

你大个要照顾细佬妹呀	你年纪大要照顾弟弟妹妹啊

你大个要认真读书	你长大要认真读书

你大个过佢好多	你比他大好多

你大个，就吓佢	你年纪大，迁就他一下

你大个，细佬细个，要让吓佢噶	你大，弟弟小，要让着他点儿

你大只骡骡，边个敢碰你吖？	你个子大大的，谁敢碰你？

你失咗业咁耐，仲唔快啲揾翻份工！	你失业了这么久，还不快点找一份工！

你失业都成年啦，噉落去唔系路个噃	你失业都快一年了，这样下去不是办法

你失业都成年啦，噉落去唔系路个噃	你失业都快一年了，这样下去不是办法

你女朋友发嬲啦，仲唔快啲箍煲！	你女朋友生气了，还不赶快补救！

你女朋友发嬲啦，仲唔快啲箍煲！	你女朋友生气了，还不赶快补救！

你好似好开心噉㖞	你好像很高兴

你好似净系睇咗第一句，然后就下咗结论	你好像只是看了第一句，然后就下定结论

你好熟面口呀，喺边度见过呢	你挺面熟的,在那儿见过？
